Video #,Time (seconds),Converted Time,Observation,Comments
8,6120,0.070833333,2 C 4,
8,6120,0.070833333,2 C 1,
8,6121,0.070844907,2 C 4,
8,6121,0.070844907,2 T 4,
8,6123,0.070868056,2 C 4,
8,6125,0.070891204,2 T 3,
8,6132,0.070972222,2 T 3,
8,6133,0.070983796,2 C 4,
8,6134,0.07099537,2 T 3,
8,6180,0.071527778,end experiment,
9,6216,0.071944444,2 T 4,
9,6217,0.071956019,2 T 4,
9,6219,0.071979167,2 T 4,
9,6222,0.072013889,2 T 1,
9,6234,0.072152778,2 T 1,
9,6237,0.0721875,2 T 1,
9,6242,0.07224537,2 T 1,
9,6251,0.072349537,2 T 4,
9,6255,0.072395833,2 C 1,
9,6257,0.072418981,2 T 1,Above threshold?
9,6280,0.072685185,2 T 1,
9,6284,0.072731481,2 C 4,
9,6319,0.073136574,2 T 4,
9,6335,0.073321759,2 T 4,Another about threshold
9,6367,0.07369213,2 T 1,
9,6387,0.073923611,2 T 1,
9,6388,0.073935185,2 T 1,
9,6390,0.073958333,2 T 1,
9,6393,0.073993056,2 C 1,
9,6395,0.074016204,2 T 4,Not much response from 4
9,6471,0.074895833,2 B 1,
9,6473,0.074918981,2 T 1,
9,6548,0.075787037,2 T 1,
9,6592,0.076296296,2 T 1,
9,6593,0.07630787,2 T 1,Potential low level chase?
9,6733,0.077928241,2 T 1,
9,6744,0.078055556,2 T 1,"Looks like 2 goes for 4 and then switches to 1, 4 doesn't give a strong reaction"
9,6832,0.079074074,2 T 1,
9,6834,0.079097222,2 T 1,
9,6836,0.07912037,2 T 1,
9,6866,0.079467593,end experiment,
10,6907,0.07994213,2 B 1,
10,6958,0.080532407,2 T 4,
10,6959,0.080543981,2 T 4,
10,6967,0.080636574,2 C 1,
10,6968,0.080648148,2 T 1,
10,6986,0.080856481,1 T 4,
10,7033,0.081400463,1 T 4,
10,7034,0.081412037,1 T 4,
10,7037,0.081446759,1 T 2,
10,7041,0.081493056,2 T 1,
10,7042,0.08150463,2 T 1,
10,7043,0.081516204,2 C 1,
10,7044,0.081527778,2 C 1,
10,7107,0.082256944,2 T 1,
10,7175,0.083043981,2 T 1,
10,7176,0.083055556,2 C 1,
10,7332,0.084861111,3 T 4,
10,7334,0.084884259,3 C 4,
10,7335,0.084895833,3 T 4,
10,7339,0.08494213,2 C 1,
10,7358,0.085162037,3 T 1,
10,7365,0.085243056,2 T 4,
10,7369,0.085289352,2 T 4,
10,7370,0.085300926,4 T 1,
10,7372,0.085324074,2 C 1,
10,7374,0.085347222,1 T 4,
10,7385,0.085474537,4 T 1,
10,7399,0.085636574,2 T 4,
10,7412,0.085787037,1 T 4,
10,7418,0.085856481,1 T 2,
10,7419,0.085868056,2 C 1,
10,7419,0.085868056,2 T 1,
10,7433,0.086030093,2 C 1,
10,7540,0.087268519,2 T 1,
10,7552,0.087407407,end experiment,
11,7603,0.087997685,2 C 1,
11,7615,0.088136574,2 T 1,
11,7622,0.088217593,1 C 4,
11,7626,0.088263889,2 T 1,
11,7631,0.088321759,2 C 1,
11,7635,0.088368056,2 T 4,
11,7671,0.088784722,1 C 4,
11,7685,0.088946759,1 L 3,
11,7686,0.088958333,2 C 3,
11,7692,0.089027778,1 C 4,
11,7696,0.089074074,1 C 3,
11,7725,0.089409722,2 T 4,
11,7736,0.089537037,2 T 1,
11,7750,0.089699074,3 C 4,
11,7755,0.089756944,1 T 4,
11,7816,0.090462963,1 T 3,
11,7819,0.090497685,1 C 3,
11,7856,0.090925926,3 T 4,
11,7866,0.091041667,2 T 4,
11,7989,0.092465278,2 T 1,
11,8025,0.092881944,1 T 4,
11,8053,0.093206019,1 C 3,
11,8144,0.094259259,2 C 1,
11,8165,0.094502315,2 T 1,
11,8179,0.094664352,1 C 4,
11,8186,0.09474537,1 T 2,
11,8188,0.094768519,2 C 1,
11,8189,0.094780093,1 C 4,
11,8204,0.094953704,2 T 3,
11,8237,0.095335648,end experiment,
12,8237,0.095335648,1 T 4,
12,8253,0.095520833,1 C 3,
12,8255,0.095543981,1 T 4,
12,8262,0.095625,1 T 3,
12,8267,0.09568287,1 T 4,
12,8294,0.09599537,1 C 3,
12,8295,0.096006944,1 T 4,
12,8296,0.096018519,1 T 4,
12,8318,0.096273148,1 C 2,
12,8320,0.096296296,1 T 4,
12,8324,0.096342593,1 T 4,
12,8377,0.096956019,1 T 3,
12,8384,0.097037037,1 T 3,
12,8427,0.097534722,1 C 3,
12,8428,0.097546296,1 C 3,
12,8433,0.097604167,1 C 3,
12,8445,0.097743056,1 T 3,
12,8464,0.097962963,1 T 4,
12,8467,0.097997685,1 C 3,
