Video #,Time (seconds),Converted Time,Observation,Comments
21,14643,0.169479167,3 T 4,
21,14743,0.170636574,3 T 4,
21,14748,0.170694444,3 C 4,
21,14820,0.171527778,3 C 4,
21,14957,0.173113426,3 T 4,
21,15000,0.173611111,3 T 4,
21,15017,0.17380787,3 T 4,
21,15018,0.173819444,3 T 4,
21,15091,0.174664352,end experiment,
22,15230,0.176273148,3 C 4,
22,15251,0.176516204,3 T 4,
22,15288,0.176944444,3 T 1,
22,15325,0.177372685,2 T 4,
22,15326,0.177384259,3 T 4,
22,15327,0.177395833,3 T 4,
22,15330,0.177430556,3 T 4,
22,15486,0.179236111,3 T 2,
22,15491,0.179293981,3 T 2,
22,15494,0.179328704,3 C 2,
22,15498,0.179375,3 C 2,
22,15500,0.179398148,3 C 2,
22,15706,0.181782407,3 T 4,
22,15708,0.181805556,3 T 4,
22,15729,0.182048611,3 T 4,
22,15731,0.182071759,3 C 4,
22,15732,0.182083333,3 C 2,
22,15736,0.18212963,3 T 1,
22,15738,0.182152778,3 C 2,
22,15742,0.182199074,3 T 4,
22,15743,0.182210648,3 T 4,
22,15776,0.182592593,end experiment,
23,15813,0.183020833,3 C 2,
23,15815,0.183043981,3 T 2,
23,15817,0.18306713,3 T 2,
23,15818,0.183078704,3 T 2,
23,15820,0.183101852,1 T 2,
23,15878,0.183773148,1 T 4,
23,15882,0.183819444,1 T 4,
23,15884,0.183842593,1 T 4,
23,15887,0.183877315,1 C 4,
23,15896,0.183981481,1 C 4,
23,15899,0.184016204,1 T 4,
23,15900,0.184027778,3 C 4,
23,15901,0.184039352,1 T 4,
23,15905,0.184085648,3 T 4,
23,15906,0.184097222,3 C 4,
23,15908,0.18412037,3 T 4,
23,15909,0.184131944,3 T 2,
23,15917,0.184224537,3 C 4,
23,16024,0.185462963,3 C 4,
23,16025,0.185474537,3 C 4,
23,16026,0.185486111,3 T 2,
23,16461,0.190520833,end experiment,"after 4:10, large panic, then no activity�"
24,16480,0.190740741,2 T 1,
24,16485,0.190798611,3 T 2,
24,16485,0.190798611,3 T 2,
24,16488,0.190833333,3 C 2,
24,16527,0.191284722,3 T 4,
24,16528,0.191296296,3 T 4,
24,16530,0.191319444,3 C 4,
24,16533,0.191354167,3 C 2,
24,16534,0.191365741,3 C 4,
24,16535,0.191377315,3 T 2,
24,16536,0.191388889,3 C 1,
24,16708,0.19337963,3 T 1,
24,16772,0.19412037,3 T 2,
24,16775,0.194155093,3 C 4,
24,16810,0.194560185,3 T 2,
24,16890,0.195486111,3 T 1,
24,17021,0.197002315,3 T 2,
24,17062,0.197476852,3 C 4,
24,17065,0.197511574,3 T 4,
24,17082,0.197708333,3 C 2,
24,17082,0.197708333,3 T 2,
24,17146,0.198449074,end experiment,
25,17300,0.200231481,3 C 2,
25,17302,0.20025463,3 T 2,
25,17309,0.200335648,3 C 2,
25,17378,0.201134259,3 C 2,
25,17473,0.202233796,3 C 2,
25,17475,0.202256944,3 C 2,
25,17561,0.203252315,3 C 4,
25,17565,0.203298611,3 C 4,
25,17649,0.204270833,3 C 2,
25,17654,0.204328704,3 T 2,
25,17768,0.205648148,3 C 4,
25,17831,0.206377315,End Experiment,
26,17951,0.207766204,2 C 1,
26,17953,0.207789352,2 C 1,
26,17956,0.207824074,2 T 4,
26,17957,0.207835648,2 T 4,
26,17958,0.207847222,2 T 4,
26,17960,0.20787037,2 C 1,
26,17963,0.207905093,2 C 4,
26,17964,0.207916667,2 C 1,
26,18082,0.209282407,3 T 4,
26,18131,0.209849537,3 C 2,
26,18132,0.209861111,3 T 2,
26,18134,0.209884259,3 C 2,
26,18137,0.209918981,3 C 4,
26,18213,0.210798611,2 T 4,
26,18467,0.213738426,2 T 4,
26,18470,0.213773148,2 T 4,
26,18471,0.213784722,2 T 4,
26,18475,0.213831019,2 T 4,
26,18477,0.213854167,2 T 4,
26,18516,0.214305556,End Experiment,
27,18672,0.216111111,2 T 4,
27,18739,0.216886574,2 T 4,
27,18743,0.21693287,2 C 4,
27,18745,0.216956019,2 C 4,
27,18749,0.217002315,3 T 4,
27,18751,0.217025463,2 T 4,
27,18813,0.217743056,2 T 4,
27,18821,0.217835648,3 T 4,
27,18916,0.218935185,3 C 2,
27,18918,0.218958333,3 C 2,
27,18922,0.21900463,3 C 2,
27,18923,0.219016204,3 C 4,
27,18925,0.219039352,3 T 4,
27,18927,0.2190625,3 T 4,
27,18930,0.219097222,3 T 4,
27,19065,0.220659722,3 C 2,
27,19066,0.220671296,2 T 4,
27,19070,0.220717593,3 C 4,
27,19073,0.220752315,3 C 2,
27,19074,0.220763889,2 T 1,
27,19082,0.220856481,3 T 1,
27,19085,0.220891204,3 T 1,
27,19127,0.221377315,3 T 1,
27,19145,0.221585648,2 T 1,
27,19180,0.221990741,3 T 4,
27,19181,0.222002315,3 C 1,
27,19202,0.22224537,end experiment,
28,19286,0.223217593,3 C 4,
28,19287,0.223229167,3 C 1,
28,19338,0.223819444,3 C 4,
28,19360,0.224074074,3 C 2,
28,19363,0.224108796,2 C 1,
28,19507,0.225775463,3 C 4,
28,19509,0.225798611,3 C 4,
28,19549,0.226261574,3 T 4,
28,19683,0.2278125,3 T 2,
28,19884,0.230138889,2 T 1,
28,19888,0.230185185,end experiment,
29,19892,0.230231481,2 T 4,
29,20009,0.231585648,2 T 1,
29,20013,0.231631944,2 C 1,
29,20052,0.232083333,3 T 4,
29,20120,0.23287037,3 T 4,
29,20121,0.232881944,3 C 4,
29,20122,0.232893519,3 T 4,
29,20124,0.232916667,3 T 4,
29,20125,0.232928241,3 T 1,
29,20348,0.235509259,3 T 1,
29,20405,0.236168981,3 T 1,
29,20548,0.237824074,3 T 1,
29,20573,0.238113426,end experiment,
30,20579,0.23818287,2 C 1,
30,20655,0.2390625,3 C 4,
30,20744,0.240092593,3 T 1,
30,20746,0.240115741,3 C 1,
30,21009,0.243159722,1 T 4,
30,21258,0.246041667,end experiment,
31,21325,0.24681713,2 C 4,
31,21325,0.24681713,2 B 4,
31,21328,0.246851852,4 C 2,
31,21331,0.246886574,2 C 1,
31,21333,0.246909722,2 T 4,
31,21333,0.246909722,4 C 2,
31,21334,0.246921296,2 C 4,
31,21338,0.246967593,3 T 1,
31,21339,0.246979167,2 T 1,
31,21342,0.247013889,2 T 4,
31,21345,0.247048611,3 T 4,
31,21347,0.247071759,end experiment,
31,21342,0.247013889,2 T 4,
31,21345,0.247048611,3 T 4,
31,21347,0.247071759,end experiment,
31,21339,0.246979167,2 T 1,
31,21342,0.247013889,2 T 4,
31,21345,0.247048611,3 T 4,
31,21347,0.247071759,end experiment,
31,21342,0.247013889,2 T 4,
31,21345,0.247048611,3 T 4,
31,21347,0.247071759,end experiment,
